Title,Author,# Lines,# Words,Rhyme Scheme,Scansion,Meter,# Noun,# Adj,# Verb,# Adv,# Pron,# Prep,# Det
song on may morning,john milton,14,118,ABBCABBDEFGHEG,,,0,0,0,0,0,0,0
when my light is spent,john milton,14,114,ABBAABBACDECDE,0101010101,iambic pentameter,0,0,0,0,0,0,0
